Country,HDI rank,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2015 Coefficient of human inequality,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted life expectancy index Value,2015 Inequality in education (%), 2015 Inequality-adjusted education index (Value),2015 Inequality in income (%),2015 Inequality-adjusted income index (Value),Income inequality (Quintile ratio),Income inequality (Palma ratio),Gini coefficient
Bhutan,132,0.607,0.428,29.4,-3,28.4,20.7,0.608,44.8,0.25,19.6,0.517,6.8,1.8,38.8
Timor-Leste,133,0.605,0.416,31.2,-5,29.9,24.4,0.564,47.6,0.259,17.8,0.495,4.6,1.2,31.6
Vanuatu,134,0.597,0.494,17.2,12,17.1,15.4,0.678,17.5,0.434,18.5,0.41,6.6,1.6,37.2
Congo,135,0.592,0.446,24.8,6,24.6,31.1,0.455,21.5,0.408,21.2,0.477,12.8,3.1,48.9
Equatorial Guinea,135,0.592,..,..,..,..,38.4,0.359,..,..,..,..,..,..,..
Kiribati,137,0.588,0.394,33.1,-7,32,26.1,0.526,21.4,0.464,48.4,0.25,7.2,1.6,37.6
Lao People's Democratic Republic,138,0.586,0.427,27.1,1,26.9,26.2,0.529,34.1,0.313,20.3,0.472,6.3,1.7,37.9
Bangladesh,139,0.579,0.412,28.9,-2,28.6,20.1,0.639,37.3,0.287,28.3,0.38,4.7,1.3,32.1
Ghana,139,0.579,0.391,32.5,-8,32.5,30.8,0.442,34.9,0.358,31.7,0.377,9.3,2.2,42.8
Zambia,139,0.579,0.373,35.6,-11,34.7,33.8,0.416,21.7,0.452,48.6,0.275,16,4.3,55.6
Sao Tome and Principe,142,0.574,0.432,24.7,7,24.7,26.9,0.524,21.4,0.4,25.8,0.384,4.7,1.1,30.8
Cambodia,143,0.563,0.436,22.5,11,22.4,19.7,0.603,27.3,0.333,20.3,0.413,4.4,1.2,30.8
Nepal,144,0.558,0.407,27,2,25.8,19.6,0.618,43.9,0.267,13.9,0.41,5,1.3,32.8
Myanmar,145,0.556,..,..,..,..,26,0.525,19.4,0.33,..,..,..,..,..
Kenya,146,0.555,0.391,29.5,-1,29.4,32.1,0.44,22.9,0.4,33.1,0.339,11.6,2.9,48.5
Pakistan,147,0.55,0.38,30.9,-2,29.6,32.8,0.479,44.4,0.22,11.6,0.523,4.4,1.2,30.7
Swaziland,148,0.541,0.361,33.3,-5,33.1,35,0.289,26.8,0.399,37.6,0.408,14.2,3.5,51.5
Syrian Arab Republic,149,0.536,0.419,21.8,10,21.4,14.5,0.653,31.5,0.286,18.3,0.394,..,..,..
Angola,150,0.533,0.336,37,-8,36.6,46.2,0.271,34.6,0.316,28.9,0.445,8.9,2.2,42.7
Tanzania (United Republic of),151,0.531,0.396,25.4,7,25.4,25,0.525,28.5,0.315,22.7,0.374,6.2,1.7,37.8
Nigeria,152,0.527,0.328,37.8,-10,37.5,40.8,0.301,43.3,0.27,28.4,0.432,9.1,2.2,43
Cameroon,153,0.518,0.348,32.8,-1,32.4,39.4,0.335,34.8,0.322,23.1,0.391,11.4,2.7,46.5
Papua New Guinea,154,0.516,..,..,..,..,26.5,0.484,11.5,0.371,..,..,10.4,2.3,43.9
Zimbabwe,154,0.516,0.369,28.5,2,28.1,31.2,0.415,17.4,0.45,35.8,0.268,8.5,2.2,43.2
